disp_um,force_N,crack_length,net_growth,cmod_um,tortuosity,n_branch,n_segment,tip_x,tip_y,direction_deg,K_I,K_c,growth_rate,initiated,severity,unstable
3.4000,441.3389,0.66672,0.12458,3.61003,0.9610,0,1,0.5133,0.4970,-12.84,1655.407,789.353,23.5515,1,light,0
3.4500,447.0470,0.66790,0.12576,3.66309,0.9610,0,1,0.5133,0.4969,-13.08,1676.818,789.353,23.7010,1,light,0
3.5000,452.7199,0.66909,0.12695,3.71616,0.9610,0,1,0.5133,0.4968,-13.32,1698.096,789.353,23.8857,1,light,0
3.5500,458.3568,0.67029,0.12815,3.76922,0.9610,0,1,0.5133,0.4968,-13.56,1719.239,789.353,24.1036,1,light,0
3.6000,463.9570,0.67150,0.12936,3.82229,0.9610,0,1,0.5133,0.4967,-13.81,1740.245,789.353,24.3497,1,light,0
3.6500,469.5195,0.67272,0.13059,3.87536,0.9610,0,1,0.5133,0.4967,-14.06,1761.109,789.353,24.8109,1,light,0
3.7000,475.0127,0.67398,0.13184,3.92843,0.9870,0,1,0.5133,0.4966,-14.33,1781.714,789.353,25.1301,1,light,0
3.7500,480.4946,0.67524,0.13310,3.98150,0.9870,0,1,0.5133,0.4965,-14.59,1802.275,789.353,25.2931,1,light,0
3.8000,485.9364,0.67651,0.13437,4.03457,0.9870,0,1,0.5133,0.4965,-14.85,1822.687,789.353,25.6590,1,light,0
3.8500,491.3367,0.67780,0.13566,4.08764,0.9870,0,1,0.5133,0.4964,-15.12,1842.943,789.353,26.0559,1,light,0
3.9000,496.6945,0.67912,0.13698,4.14071,0.9610,0,1,0.5133,0.4963,-15.39,1863.039,789.353,26.4830,1,light,0
3.9500,502.0088,0.68045,0.13831,4.19377,0.9610,0,1,0.5133,0.4963,-15.67,1882.973,789.353,26.9426,1,light,0
4.0000,507.2784,0.68181,0.13967,4.24684,0.9610,0,1,0.5133,0.4962,-15.95,1902.738,789.353,27.4371,1,light,0
4.0500,512.5021,0.68319,0.14106,4.29991,0.9610,0,1,0.5133,0.4961,-16.24,1922.331,789.353,27.9671,1,light,0
4.1000,517.6786,0.68461,0.14247,4.35297,0.9610,0,1,0.5133,0.4960,-16.54,1941.748,789.353,28.5333,1,light,0
4.1500,522.8067,0.68605,0.14391,4.40603,0.9610,0,1,0.5133,0.4960,-16.85,1960.983,789.353,29.1384,1,light,0
4.2000,527.8848,0.68752,0.14538,4.45909,0.9610,0,1,0.5133,0.4959,-17.17,1980.030,789.353,30.0354,1,light,0
4.2500,532.8732,0.68905,0.14691,4.51214,0.9487,0,1,0.5200,0.4955,-12.59,2057.278,789.353,30.7515,1,light,0
4.3000,537.8429,0.69060,0.14846,4.56520,0.9743,0,1,0.5200,0.4954,-12.86,2076.464,789.353,31.2779,1,light,0
4.3500,542.7570,0.69218,0.15004,4.61825,0.9615,0,1,0.5200,0.4953,-13.14,2095.436,789.353,32.0952,1,light,0
4.4000,547.6130,0.69380,0.15167,4.67130,0.9487,0,1,0.5200,0.4952,-13.43,2114.184,789.353,32.9738,1,light,0
4.4500,552.4086,0.69548,0.15334,4.72434,0.9615,0,1,0.5200,0.4951,-13.74,2132.699,789.353,33.9257,1,light,0
4.5000,557.1411,0.69720,0.15506,4.77738,0.9615,0,1,0.5200,0.4950,-14.07,2150.969,789.353,34.9772,1,light,0
4.5500,561.8059,0.69897,0.15684,4.83042,0.9615,0,1,0.5200,0.4949,-14.42,2168.979,789.353,36.1549,1,light,0
4.6000,566.3985,0.70081,0.15867,4.88345,0.9615,0,1,0.5200,0.4947,-14.80,2186.709,789.353,37.4880,1,light,0
4.6500,570.9124,0.70272,0.16058,4.93648,0.9871,0,1,0.5200,0.4946,-15.21,2204.137,789.353,39.0076,1,light,0
4.7000,575.3406,0.70471,0.16258,4.98949,0.9871,0,1,0.5200,0.4944,-15.66,2221.233,789.353,40.7662,1,light,0
4.7500,579.6732,0.70680,0.16466,5.04250,0.9871,0,1,0.5200,0.4942,-16.15,2237.959,789.353,42.8430,1,light,0
4.8000,583.8967,0.70900,0.16686,5.09550,0.9620,0,1,0.5267,0.4938,-13.17,2320.689,789.353,45.5339,1,light,0
4.8500,587.9796,0.71135,0.16921,5.14848,0.9493,0,1,0.5267,0.4935,-13.68,2336.916,789.353,49.2120,1,light,0
4.9000,591.8807,0.71392,0.17178,5.20144,0.9619,0,1,0.5267,0.4932,-14.26,2352.421,789.353,54.0926,1,light,0
4.9500,595.5535,0.71676,0.17462,5.25438,0.9619,0,1,0.5267,0.4929,-14.94,2367.019,789.353,60.9684,1,light,0
5.0000,598.9098,0.72002,0.17788,5.30728,0.9619,0,1,0.5267,0.4925,-15.75,2380.358,789.353,70.9480,1,light,0
5.0500,601.8560,0.72386,0.18172,5.36012,0.9749,0,1,0.5333,0.4918,-13.83,2462.974,789.353,84.7444,1,light,0
5.1000,604.3101,0.72849,0.18635,5.41290,0.9499,0,1,0.5333,0.4911,-14.89,2473.017,789.353,100.2545,1,light,0
5.1500,606.1716,0.73388,0.19174,5.46552,0.9873,0,1,0.5333,0.4903,-16.18,2480.635,789.353,125.2398,1,light,0
5.2000,606.8474,0.74101,0.19888,5.51792,0.9875,0,1,0.5400,0.4892,-15.08,2557.445,789.353,145.5446,1,light,0
5.2500,606.9621,0.74844,0.20630,5.56994,0.9751,0,1,0.5400,0.4880,-16.64,2557.928,789.353,165.4474,1,light,0
5.3000,606.1277,0.75756,0.21542,5.62166,0.9509,0,1,0.5467,0.4867,-15.91,2631.008,789.353,179.5868,1,light,0
5.3500,605.0150,0.76640,0.22426,5.67289,0.9515,0,1,0.5533,0.4853,-15.37,2705.363,789.353,195.5881,1,light,0
5.4000,602.8511,0.77712,0.23498,5.72366,0.9755,0,1,0.5533,0.4835,-17.15,2695.687,789.353,209.7135,1,light,0
5.4500,600.8665,0.78737,0.24523,5.77403,0.9519,0,1,0.5600,0.4820,-16.73,2768.262,789.353,219.4987,1,light,0
5.5000,597.6034,0.79907,0.25693,5.82360,0.9524,0,1,0.5667,0.4802,-16.56,2837.126,789.353,246.3367,1,light,0
5.5500,594.0852,0.81200,0.26986,5.87273,0.9412,0,1,0.5733,0.4783,-16.47,2906.800,789.353,254.1776,1,light,0
5.6000,590.0466,0.82449,0.28235,5.92111,0.9303,0,1,0.5800,0.4763,-16.48,2975.883,789.353,274.1096,1,light,0
5.6500,584.7037,0.83941,0.29727,5.96835,0.9536,0,1,0.5867,0.4741,-16.66,3040.106,789.353,309.4911,1,light,1
5.7000,578.5531,0.85543,0.31330,6.01493,0.9427,0,1,0.5933,0.4716,-16.95,3101.537,789.353,332.6272,1,light,1
5.7500,571.6222,0.87267,0.33054,6.06044,0.9432,0,1,0.6000,0.4688,-17.33,3159.942,789.353,357.9873,1,medium,1
5.8000,563.8879,0.89123,0.34910,6.10513,0.9551,0,1,0.6133,0.4669,-16.30,3315.820,789.353,403.4574,1,medium,1
5.8500,554.8517,0.91302,0.37088,6.14862,0.9446,0,1,0.6200,0.4636,-16.89,3365.595,789.353,435.7801,1,medium,1
5.9000,544.7378,0.93481,0.39267,6.19118,0.9456,0,1,0.6333,0.4612,-16.23,3517.041,789.353,436.9777,1,medium,1
5.9500,533.5236,0.95672,0.41458,6.23299,0.9458,0,1,0.6400,0.4572,-17.01,3554.318,789.353,455.9887,1,medium,1
6.0000,521.1537,0.98041,0.43827,6.27413,0.9467,0,1,0.6533,0.4543,-16.61,3697.437,789.353,489.1801,1,medium,1
6.0500,507.5307,1.00564,0.46350,6.31426,0.9475,0,1,0.6667,0.4511,-16.36,3835.775,789.353,525.3861,1,medium,1
6.1000,492.7231,1.03295,0.49081,6.35485,0.9482,0,1,0.6800,0.4476,-16.24,3967.807,789.353,569.9521,1,medium,1
6.1500,476.6288,1.06263,0.52049,6.39473,0.9488,0,1,0.6933,0.4437,-16.23,4090.380,789.353,621.9115,1,medium,1
6.2000,459.1716,1.09514,0.55300,6.43398,0.9687,0,1,0.7133,0.4415,-15.33,4336.232,789.353,664.5063,1,medium,1
6.2500,440.3703,1.12908,0.58694,6.47292,0.9688,0,1,0.7267,0.4369,-15.55,4432.968,789.353,690.1206,1,medium,1
6.3000,420.3515,1.16415,0.62201,6.51189,0.9695,0,1,0.7467,0.4341,-14.95,4656.957,789.353,715.5789,1,medium,1
6.3500,399.0343,1.20064,0.65850,6.55080,0.9782,0,1,0.7600,0.4287,-15.33,4712.133,789.353,747.2660,1,medium,1
6.4000,376.3442,1.23888,0.69674,6.58971,0.9444,0,1,0.7800,0.4251,-14.98,4889.765,789.353,792.6528,1,medium,1
6.4500,352.0532,1.27990,0.73777,6.62858,0.9620,0,1,0.8000,0.4210,-14.76,5031.071,789.353,838.6061,1,medium,1
6.5000,325.8330,1.32274,0.78060,6.66716,0.9625,0,1,0.8200,0.4162,-14.67,5119.181,789.353,879.0160,1,medium,1
6.5500,297.7376,1.36781,0.82567,6.70550,0.9549,0,1,0.8400,0.4108,-14.70,5139.863,789.353,934.5232,1,medium,1
6.6000,267.6103,1.41619,0.87405,6.74333,0.9714,0,1,0.8667,0.4071,-14.22,5232.731,789.353,1013.3907,1,heavy,1
6.6500,234.1498,1.46915,0.92701,6.77976,0.9563,0,1,0.8867,0.3995,-14.56,5022.554,789.353,1058.0333,1,heavy,1
6.7000,196.3323,1.52199,0.97986,6.81384,0.9787,0,1,0.9133,0.3927,-14.55,4758.548,789.353,1122.7878,1,heavy,1
6.7500,149.7360,1.58142,1.03929,6.84231,0.9576,0,1,0.9467,0.3838,-14.59,4218.483,789.353,1452.6606,1,heavy,1
6.8000,73.4211,1.66726,1.12512,6.84943,0.9970,0,1,1.0000,0.3602,-15.62,2605.552,789.353,1329.4445,1,heavy,1
6.8500,2.6159,1.71437,1.17223,6.83922,0.9952,0,1,1.0000,0.3477,-16.94,92.833,789.353,524.7817,1,heavy,1
6.9000,2.5936,1.71974,1.17760,6.88910,0.9952,0,1,1.0000,0.3475,-16.97,92.042,789.353,79.3637,1,heavy,0
6.9500,2.5946,1.72230,1.18017,6.93901,0.9952,0,1,1.0000,0.3475,-16.97,92.076,789.353,36.5853,1,heavy,0
7.0000,2.6051,1.72340,1.18126,6.98892,0.9952,0,1,1.0000,0.3475,-16.97,92.451,789.353,21.7138,1,heavy,0
7.0500,2.6142,1.72448,1.18234,7.03883,0.9952,0,1,1.0000,0.3475,-16.97,92.771,789.353,18.7322,1,heavy,0
7.1000,2.6264,1.72527,1.18313,7.08874,0.9952,0,1,1.0000,0.3475,-16.97,93.204,789.353,15.2468,1,heavy,0
7.1500,2.6397,1.72600,1.18386,7.13866,0.9952,0,1,1.0000,0.3475,-16.97,93.677,789.353,15.6519,1,heavy,0
7.2000,2.6522,1.72684,1.18470,7.18857,0.9952,0,1,1.0000,0.3475,-16.97,94.120,789.353,22.7102,1,heavy,0
7.2500,2.6608,1.72827,1.18613,7.23848,0.9952,0,1,1.0000,0.3475,-16.97,94.426,789.353,22.6654,1,heavy,0
7.3000,2.6743,1.72910,1.18696,7.28839,0.9952,0,1,1.0000,0.3475,-16.97,94.904,789.353,17.0804,1,heavy,0
7.3500,2.6865,1.72998,1.18784,7.33830,0.9952,0,1,1.0000,0.3475,-16.97,95.338,789.353,20.5865,1,heavy,0
7.4000,2.6954,1.73116,1.18902,7.38821,0.9952,0,1,1.0000,0.3475,-16.97,95.653,789.353,23.0735,1,heavy,0
7.4500,2.7047,1.73229,1.19015,7.43813,0.9952,0,1,1.0000,0.3475,-16.97,95.983,789.353,15.0553,1,heavy,0
7.5000,2.7219,1.73267,1.19053,7.48804,0.9952,0,1,1.0000,0.3475,-16.97,96.594,789.353,8.2888,1,heavy,0
