disp_mm,force_N
4.350000000000000568e-03,5.427569791318268244e+02
4.400000000000000265e-03,5.476129954141733833e+02
4.449999999999999963e-03,5.524086288071938498e+02
4.500000000000000527e-03,5.571410578401339535e+02
4.550000000000000225e-03,5.618058573161000595e+02
4.599999999999999922e-03,5.663984786756159338e+02
4.650000000000000487e-03,5.709124416705205931e+02
4.700000000000000185e-03,5.753405813523283996e+02
4.749999999999999882e-03,5.796731536094383728e+02
4.800000000000000447e-03,5.838966688398807037e+02
4.850000000000000144e-03,5.879795755769697507e+02
4.899999999999999842e-03,5.918806760703728287e+02
4.950000000000000407e-03,5.955535487328318140e+02
5.000000000000000104e-03,5.989097674513971015e+02
5.050000000000000669e-03,6.018560105101508952e+02
5.100000000000000366e-03,6.043101104001136719e+02
5.150000000000000064e-03,6.061715624653087389e+02
5.200000000000000629e-03,6.068474029631402118e+02
5.250000000000000326e-03,6.069620514592310201e+02
5.300000000000000024e-03,6.061277457013567300e+02
5.350000000000000588e-03,6.050149593343364813e+02
5.400000000000000286e-03,6.028511057159851134e+02
5.449999999999999983e-03,6.008665326035752514e+02
5.500000000000000548e-03,5.976033733133809847e+02
5.550000000000000246e-03,5.940851730015883732e+02
5.599999999999999943e-03,5.900465620201564434e+02
5.650000000000000508e-03,5.847037158239111250e+02
5.700000000000000205e-03,5.785530502316145203e+02
5.749999999999999903e-03,5.716221858543843837e+02
5.800000000000000468e-03,5.638878573762299311e+02
5.850000000000000165e-03,5.548517252459688507e+02
5.899999999999999863e-03,5.447377609006658759e+02
5.950000000000000427e-03,5.335235613984139036e+02
6.000000000000000125e-03,5.211536809320191423e+02
6.050000000000000690e-03,5.075306865444565574e+02
6.100000000000000387e-03,4.927230553354619929e+02
6.150000000000000085e-03,4.766287746299213950e+02
6.200000000000000649e-03,4.591716297599435848e+02
6.250000000000000347e-03,4.403703171425011647e+02
6.300000000000000044e-03,4.203514524262380405e+02
6.350000000000000609e-03,3.990342704165401528e+02
6.400000000000000307e-03,3.763442411689579785e+02
6.450000000000000004e-03,3.520531927190595525e+02
6.500000000000000569e-03,3.258330134956526649e+02
6.550000000000000266e-03,2.977376030742929061e+02
6.599999999999999964e-03,2.676103121766069535e+02
6.650000000000000529e-03,2.341498474052440599e+02
6.700000000000000226e-03,1.963322757411048087e+02
6.749999999999999924e-03,1.497360119539088146e+02
6.800000000000000488e-03,7.342109807532435184e+01
6.850000000000000186e-03,2.615915185504380958e+00
6.900000000000000751e-03,2.593617309421647921e+00
6.950000000000000448e-03,2.594585805206718554e+00
7.000000000000000146e-03,2.605146134196666186e+00
7.050000000000000711e-03,2.614179285681645926e+00
7.100000000000000408e-03,2.626380753089470055e+00
7.150000000000000105e-03,2.639698269520241336e+00
7.200000000000000670e-03,2.652178314510161172e+00
7.250000000000000368e-03,2.660800868218452297e+00
7.300000000000000065e-03,2.674282968400020888e+00
7.350000000000000630e-03,2.686509183424885538e+00
7.400000000000000328e-03,2.695388329484161183e+00
7.450000000000000025e-03,2.704673167551897350e+00
7.500000000000000590e-03,2.721880862357059616e+00
7.550000000000000287e-03,2.738202930807781321e+00
7.599999999999999985e-03,2.752955893532660347e+00
7.650000000000000550e-03,2.767323665011451883e+00
7.700000000000000247e-03,2.781294823437927999e+00
